Tytu³:;2 pok z ogrodem 40mkw apartamentowiec
Cena:;599 000 z³
Cena za metr kwadratowy:;14 262 z³/m
Powierzchnia:;42 m
Liczba pokoi:;2
Rynek:;wtórny
Rodzaj zabudowy:;apartamentowiec
Piêtro:;parter
Liczba piêter:;3
Materia³ budynku:;ceg³a
Okna:;plastikowe
Ogrzewanie:;miejskie
Rok budowy:;2021
Stan wykoñczenia:;do wykoñczenia
Czynsz:;430 z³
Informacje dodatkowe:;drzwi / okna antyw³amaniowe;teren zamkniêty;domofon / wideofon;monitoring / ochrona;balkon;gara¿/miejsce parkingowe;winda;oddzielna kuchnia;taras
